Anio;Periodo;DatoSobreEnvejecimiento;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;26.7;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;27.11;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;27.3;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;26.9;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;27.6;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;27.8;83;8;Peñagrande;Fuencarral - El Pardo
2005;Anual;23.2;84;8;Pilar;Fuencarral - El Pardo
2006;Anual;23.04;84;8;Pilar;Fuencarral - El Pardo
2007;Anual;23.32;84;8;Pilar;Fuencarral - El Pardo
2008;Anual;23.69;84;8;Pilar;Fuencarral - El Pardo
2009;Anual;23.97;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;24.12;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;24.75;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;25.47;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;26.32;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;27.05;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;28.05;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;29.15;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;31.16;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;32.14;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;33.4;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;33.3;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;35.2;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;36.5;84;8;Pilar;Fuencarral - El Pardo
2005;Anual;18.98;159;15;Costillares;Ciudad Lineal
2006;Anual;19.01;159;15;Costillares;Ciudad Lineal
2007;Anual;19.06;159;15;Costillares;Ciudad Lineal
2008;Anual;19.95;159;15;Costillares;Ciudad Lineal
2009;Anual;20.78;159;15;Costillares;Ciudad Lineal
2010;Anual;20.7;159;15;Costillares;Ciudad Lineal
2011;Anual;21.51;159;15;Costillares;Ciudad Lineal
2012;Anual;22.92;159;15;Costillares;Ciudad Lineal
2013;Anual;23.64;159;15;Costillares;Ciudad Lineal
2014;Anual;24.3;159;15;Costillares;Ciudad Lineal
2015;Anual;24.4;159;15;Costillares;Ciudad Lineal
2016;Anual;24.97;159;15;Costillares;Ciudad Lineal
2017;Anual;26.61;159;15;Costillares;Ciudad Lineal
2018;Anual;27.69;159;15;Costillares;Ciudad Lineal
2019;Anual;27.8;159;15;Costillares;Ciudad Lineal
2020;Anual;28.2;159;15;Costillares;Ciudad Lineal
2021;Anual;29.9;159;15;Costillares;Ciudad Lineal
2022;Anual;30.8;159;15;Costillares;Ciudad Lineal
2005;Anual;28.21;56;5;Castilla;Chamartín
2006;Anual;30.44;56;5;Castilla;Chamartín
2007;Anual;32.73;56;5;Castilla;Chamartín
2008;Anual;34.66;56;5;Castilla;Chamartín
2009;Anual;35.75;56;5;Castilla;Chamartín
2010;Anual;37.19;56;5;Castilla;Chamartín
2011;Anual;37.71;56;5;Castilla;Chamartín
2012;Anual;38.59;56;5;Castilla;Chamartín
2013;Anual;38.96;56;5;Castilla;Chamartín
2014;Anual;39.34;56;5;Castilla;Chamartín
2015;Anual;40.07;56;5;Castilla;Chamartín
2016;Anual;40.11;56;5;Castilla;Chamartín
2017;Anual;39.72;56;5;Castilla;Chamartín
2018;Anual;39.55;56;5;Castilla;Chamartín
2019;Anual;37.8;56;5;Castilla;Chamartín
2020;Anual;36.1;56;5;Castilla;Chamartín
2021;Anual;35.5;56;5;Castilla;Chamartín
2022;Anual;34.8;56;5;Castilla;Chamartín
2005;Anual;22.37;165;16;Apóstol Santiago;Hortaleza
2006;Anual;23.49;165;16;Apóstol Santiago;Hortaleza
2007;Anual;24.46;165;16;Apóstol Santiago;Hortaleza
2008;Anual;25.27;165;16;Apóstol Santiago;Hortaleza
2009;Anual;27.41;165;16;Apóstol Santiago;Hortaleza
2010;Anual;28.5;165;16;Apóstol Santiago;Hortaleza
2011;Anual;30.5;165;16;Apóstol Santiago;Hortaleza
2012;Anual;31.64;165;16;Apóstol Santiago;Hortaleza
2013;Anual;33.21;165;16;Apóstol Santiago;Hortaleza
2014;Anual;35.07;165;16;Apóstol Santiago;Hortaleza
2015;Anual;35.54;165;16;Apóstol Santiago;Hortaleza
2016;Anual;37.21;165;16;Apóstol Santiago;Hortaleza
2017;Anual;37.73;165;16;Apóstol Santiago;Hortaleza
2018;Anual;37.34;165;16;Apóstol Santiago;Hortaleza
2019;Anual;36.6;165;16;Apóstol Santiago;Hortaleza
2020;Anual;36.5;165;16;Apóstol Santiago;Hortaleza
2021;Anual;36.7;165;16;Apóstol Santiago;Hortaleza
2022;Anual;36.0;165;16;Apóstol Santiago;Hortaleza
2005;Anual;20.16;164;16;Pinar del Rey;Hortaleza
2006;Anual;20.72;164;16;Pinar del Rey;Hortaleza
2007;Anual;21.51;164;16;Pinar del Rey;Hortaleza
2008;Anual;22.31;164;16;Pinar del Rey;Hortaleza
2009;Anual;23.1;164;16;Pinar del Rey;Hortaleza
2010;Anual;24.25;164;16;Pinar del Rey;Hortaleza
2011;Anual;25.09;164;16;Pinar del Rey;Hortaleza
2012;Anual;26.24;164;16;Pinar del Rey;Hortaleza
2013;Anual;27.7;164;16;Pinar del Rey;Hortaleza
2014;Anual;28.46;164;16;Pinar del Rey;Hortaleza
2015;Anual;29.56;164;16;Pinar del Rey;Hortaleza
2016;Anual;30.89;164;16;Pinar del Rey;Hortaleza
2017;Anual;32.37;164;16;Pinar del Rey;Hortaleza
2018;Anual;33.29;164;16;Pinar del Rey;Hortaleza
2019;Anual;34.2;164;16;Pinar del Rey;Hortaleza
2020;Anual;33.9;164;16;Pinar del Rey;Hortaleza
2021;Anual;35.1;164;16;Pinar del Rey;Hortaleza
2022;Anual;35.5;164;16;Pinar del Rey;Hortaleza
2005;Anual;30.6;96;9;El Plantío;Moncloa - Aravaca
2006;Anual;27.3;96;9;El Plantío;Moncloa - Aravaca
2007;Anual;23.51;96;9;El Plantío;Moncloa - Aravaca
2008;Anual;21.59;96;9;El Plantío;Moncloa - Aravaca
2009;Anual;21.56;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;23.05;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;22.99;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;22.8;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;22.49;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;21.89;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;21.73;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;21.84;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;27.97;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;25.61;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;25.3;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;24.5;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;26.0;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;25.8;96;9;El Plantío;Moncloa - Aravaca
2005;Anual;31.18;93;9;Ciudad Universitaria;Moncloa - Aravaca
2006;Anual;31.77;93;9;Ciudad Universitaria;Moncloa - Aravaca
2007;Anual;31.68;93;9;Ciudad Universitaria;Moncloa - Aravaca
2008;Anual;32.35;93;9;Ciudad Universitaria;Moncloa - Aravaca
2009;Anual;31.89;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;32.12;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;32.55;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;33.47;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;32.79;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;33.02;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;33.24;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;33.72;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;33.85;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;33.23;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;32.9;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;32.8;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;32.7;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;33.4;93;9;Ciudad Universitaria;Moncloa - Aravaca
2005;Anual;25.92;213;21;Casco Histórico de Barajas;Barajas
2006;Anual;27.66;213;21;Casco Histórico de Barajas;Barajas
2007;Anual;28.09;213;21;Casco Histórico de Barajas;Barajas
2008;Anual;29.51;213;21;Casco Histórico de Barajas;Barajas
2009;Anual;29.83;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;31.15;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;30.76;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;31.42;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;34.47;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;34.87;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;35.61;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;36.98;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;36.28;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;35.66;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;34.0;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;33.2;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;33.1;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;31.9;213;21;Casco Histórico de Barajas;Barajas
2005;Anual;34.48;95;9;Valdemarín;Moncloa - Aravaca
2006;Anual;34.88;95;9;Valdemarín;Moncloa - Aravaca
2007;Anual;36.17;95;9;Valdemarín;Moncloa - Aravaca
2008;Anual;35.13;95;9;Valdemarín;Moncloa - Aravaca
2009;Anual;37.11;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;38.76;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;36.4;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;37.14;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;35.07;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;36.4;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;36.43;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;37.28;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;35.09;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;33.72;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;32.3;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;33.3;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;30.6;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;31.6;95;9;Valdemarín;Moncloa - Aravaca
2005;Anual;28.23;64;6;Almenara;Tetuán
2006;Anual;29.37;64;6;Almenara;Tetuán
2007;Anual;30.83;64;6;Almenara;Tetuán
2008;Anual;32.59;64;6;Almenara;Tetuán
2009;Anual;34.34;64;6;Almenara;Tetuán
2010;Anual;35.98;64;6;Almenara;Tetuán
2011;Anual;38.24;64;6;Almenara;Tetuán
2012;Anual;39.84;64;6;Almenara;Tetuán
2013;Anual;42.24;64;6;Almenara;Tetuán
2014;Anual;44.16;64;6;Almenara;Tetuán
2015;Anual;46.0;64;6;Almenara;Tetuán
2016;Anual;46.46;64;6;Almenara;Tetuán
2017;Anual;47.36;64;6;Almenara;Tetuán
2018;Anual;46.89;64;6;Almenara;Tetuán
2019;Anual;45.5;64;6;Almenara;Tetuán
2020;Anual;43.6;64;6;Almenara;Tetuán
2021;Anual;42.0;64;6;Almenara;Tetuán
2022;Anual;40.1;64;6;Almenara;Tetuán
2005;Anual;25.56;65;6;Valdeacederas;Tetuán
2006;Anual;26.19;65;6;Valdeacederas;Tetuán
2007;Anual;27.23;65;6;Valdeacederas;Tetuán
2008;Anual;28.28;65;6;Valdeacederas;Tetuán
2009;Anual;29.32;65;6;Valdeacederas;Tetuán
2010;Anual;30.84;65;6;Valdeacederas;Tetuán
2011;Anual;32.57;65;6;Valdeacederas;Tetuán
2012;Anual;33.91;65;6;Valdeacederas;Tetuán
2013;Anual;35.41;65;6;Valdeacederas;Tetuán
2014;Anual;37.14;65;6;Valdeacederas;Tetuán
2015;Anual;38.98;65;6;Valdeacederas;Tetuán
2016;Anual;39.29;65;6;Valdeacederas;Tetuán
2017;Anual;40.32;65;6;Valdeacederas;Tetuán
2018;Anual;39.68;65;6;Valdeacederas;Tetuán
2019;Anual;38.8;65;6;Valdeacederas;Tetuán
2020;Anual;37.2;65;6;Valdeacederas;Tetuán
2021;Anual;36.5;65;6;Valdeacederas;Tetuán
2022;Anual;35.4;65;6;Valdeacederas;Tetuán
2005;Anual;24.63;94;9;Valdezarza;Moncloa - Aravaca
2006;Anual;25.44;94;9;Valdezarza;Moncloa - Aravaca
2007;Anual;26.2;94;9;Valdezarza;Moncloa - Aravaca
2008;Anual;26.63;94;9;Valdezarza;Moncloa - Aravaca
2009;Anual;27.94;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;28.83;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;29.14;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;29.99;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;31.12;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;32.13;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;32.93;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;33.14;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;34.14;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;34.72;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;34.8;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;34.4;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;34.8;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;35.0;94;9;Valdezarza;Moncloa - Aravaca
2005;Anual;18.09;215;21;Corralejos;Barajas
