Anio;Periodo;DatoRentaMedia;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2014;Anual;111688.985042784;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;112320.748093875;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;88035.0;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;88243.0;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;90897.0;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;91479.0;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;89731.0;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;27278.7061824743;64;6;Almenara;Tetuán
2014;Anual;27382.438904218;64;6;Almenara;Tetuán
2015;Anual;28746.7033662579;64;6;Almenara;Tetuán
2016;Anual;29675.0;64;6;Almenara;Tetuán
2017;Anual;30883.0;64;6;Almenara;Tetuán
2018;Anual;31609.0;64;6;Almenara;Tetuán
2019;Anual;32853.0;64;6;Almenara;Tetuán
2020;Anual;33159.0;64;6;Almenara;Tetuán
2013;Anual;26847.5047428857;65;6;Valdeacederas;Tetuán
2014;Anual;26530.5724314932;65;6;Valdeacederas;Tetuán
2015;Anual;28242.0523623145;65;6;Valdeacederas;Tetuán
2016;Anual;28694.0;65;6;Valdeacederas;Tetuán
2017;Anual;28996.0;65;6;Valdeacederas;Tetuán
2018;Anual;30164.0;65;6;Valdeacederas;Tetuán
2019;Anual;31573.0;65;6;Valdeacederas;Tetuán
2020;Anual;31244.0;65;6;Valdeacederas;Tetuán
2013;Anual;34027.558734594;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;33997.0665379125;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;34996.9307976869;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;35550.0;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;35983.0;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;37335.0;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;38660.0;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;38630.0;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;68664.5456642974;215;21;Corralejos;Barajas
2014;Anual;64548.2690722942;215;21;Corralejos;Barajas
2015;Anual;65879.1637136929;215;21;Corralejos;Barajas
2016;Anual;67321.0;215;21;Corralejos;Barajas
2017;Anual;68525.0;215;21;Corralejos;Barajas
2018;Anual;70874.0;215;21;Corralejos;Barajas
2019;Anual;72729.0;215;21;Corralejos;Barajas
2020;Anual;72657.0;215;21;Corralejos;Barajas
2013;Anual;38763.1811252234;163;16;Canillas;Hortaleza
2014;Anual;38580.5386830883;163;16;Canillas;Hortaleza
2015;Anual;39790.2400918192;163;16;Canillas;Hortaleza
2016;Anual;40747.0;163;16;Canillas;Hortaleza
2017;Anual;41118.0;163;16;Canillas;Hortaleza
2018;Anual;42659.0;163;16;Canillas;Hortaleza
2019;Anual;44086.0;163;16;Canillas;Hortaleza
2020;Anual;43396.0;163;16;Canillas;Hortaleza
2013;Anual;73269.8772947936;55;5;Nueva España;Chamartín
2014;Anual;77392.0553267785;55;5;Nueva España;Chamartín
2015;Anual;80248.3920255963;55;5;Nueva España;Chamartín
2016;Anual;73423.0;55;5;Nueva España;Chamartín
2017;Anual;74482.0;55;5;Nueva España;Chamartín
2018;Anual;78098.0;55;5;Nueva España;Chamartín
2019;Anual;76080.0;55;5;Nueva España;Chamartín
2020;Anual;78336.0;55;5;Nueva España;Chamartín
2013;Anual;64437.9374640288;158;15;Atalaya;Ciudad Lineal
2014;Anual;62597.0135335689;158;15;Atalaya;Ciudad Lineal
2015;Anual;67826.1492998205;158;15;Atalaya;Ciudad Lineal
2016;Anual;71758.0;158;15;Atalaya;Ciudad Lineal
2017;Anual;68336.0;158;15;Atalaya;Ciudad Lineal
2018;Anual;69982.0;158;15;Atalaya;Ciudad Lineal
2019;Anual;78128.0;158;15;Atalaya;Ciudad Lineal
2020;Anual;73959.0;158;15;Atalaya;Ciudad Lineal
2013;Anual;67162.500933475;97;9;Aravaca;Moncloa - Aravaca
2014;Anual;72527.5419643303;97;9;Aravaca;Moncloa - Aravaca
2015;Anual;77060.7556397453;97;9;Aravaca;Moncloa - Aravaca
2016;Anual;68120.0;97;9;Aravaca;Moncloa - Aravaca
2017;Anual;69380.0;97;9;Aravaca;Moncloa - Aravaca
2018;Anual;72999.0;97;9;Aravaca;Moncloa - Aravaca
2019;Anual;71356.0;97;9;Aravaca;Moncloa - Aravaca
2020;Anual;71212.0;97;9;Aravaca;Moncloa - Aravaca
2013;Anual;43088.1252244618;63;6;Castillejos;Tetuán
2014;Anual;44890.0583371455;63;6;Castillejos;Tetuán
2015;Anual;45025.3268859599;63;6;Castillejos;Tetuán
2016;Anual;46596.0;63;6;Castillejos;Tetuán
2017;Anual;46951.0;63;6;Castillejos;Tetuán
2018;Anual;48631.0;63;6;Castillejos;Tetuán
2019;Anual;51363.0;63;6;Castillejos;Tetuán
2020;Anual;49475.0;63;6;Castillejos;Tetuán
2013;Anual;52018.801966092;211;21;Alameda de Osuna;Barajas
2014;Anual;51559.5687887404;211;21;Alameda de Osuna;Barajas
2015;Anual;52281.1907390498;211;21;Alameda de Osuna;Barajas
2016;Anual;53554.0;211;21;Alameda de Osuna;Barajas
2017;Anual;54037.0;211;21;Alameda de Osuna;Barajas
2018;Anual;55681.0;211;21;Alameda de Osuna;Barajas
2019;Anual;56789.0;211;21;Alameda de Osuna;Barajas
2020;Anual;56971.0;211;21;Alameda de Osuna;Barajas
2013;Anual;27221.0708321288;66;6;Berruguete;Tetuán
2014;Anual;26856.5614075824;66;6;Berruguete;Tetuán
2015;Anual;28945.5254772727;66;6;Berruguete;Tetuán
2016;Anual;29321.0;66;6;Berruguete;Tetuán
2017;Anual;30201.0;66;6;Berruguete;Tetuán
2018;Anual;31387.0;66;6;Berruguete;Tetuán
2019;Anual;32845.0;66;6;Berruguete;Tetuán
2020;Anual;32467.0;66;6;Berruguete;Tetuán
2013;Anual;50733.5909106029;157;15;Colina;Ciudad Lineal
2014;Anual;52757.1880326496;157;15;Colina;Ciudad Lineal
2015;Anual;54247.1572063758;157;15;Colina;Ciudad Lineal
2016;Anual;53789.0;157;15;Colina;Ciudad Lineal
2017;Anual;54615.0;157;15;Colina;Ciudad Lineal
2018;Anual;56253.0;157;15;Colina;Ciudad Lineal
2019;Anual;57449.0;157;15;Colina;Ciudad Lineal
2020;Anual;55524.0;157;15;Colina;Ciudad Lineal
2013;Anual;100792.468663717;162;16;Piovera;Hortaleza
2014;Anual;101620.187618627;162;16;Piovera;Hortaleza
2015;Anual;97253.6423164336;162;16;Piovera;Hortaleza
2016;Anual;81271.0;162;16;Piovera;Hortaleza
2017;Anual;81938.0;162;16;Piovera;Hortaleza
2018;Anual;85549.0;162;16;Piovera;Hortaleza
2019;Anual;85567.0;162;16;Piovera;Hortaleza
2020;Anual;84205.0;162;16;Piovera;Hortaleza
2013;Anual;58862.0576558333;54;5;Hispanoamérica;Chamartín
2014;Anual;61176.6851220935;54;5;Hispanoamérica;Chamartín
2015;Anual;62635.3503539972;54;5;Hispanoamérica;Chamartín
2016;Anual;63487.0;54;5;Hispanoamérica;Chamartín
2017;Anual;66079.0;54;5;Hispanoamérica;Chamartín
2018;Anual;69389.0;54;5;Hispanoamérica;Chamartín
2019;Anual;71645.0;54;5;Hispanoamérica;Chamartín
2020;Anual;70450.0;54;5;Hispanoamérica;Chamartín
2013;Anual;29258.0087261599;61;6;Bellas Vistas;Tetuán
2014;Anual;29188.9605135898;61;6;Bellas Vistas;Tetuán
2015;Anual;31125.2299026959;61;6;Bellas Vistas;Tetuán
2016;Anual;31745.0;61;6;Bellas Vistas;Tetuán
2017;Anual;32298.0;61;6;Bellas Vistas;Tetuán
2018;Anual;33574.0;61;6;Bellas Vistas;Tetuán
2019;Anual;35048.0;61;6;Bellas Vistas;Tetuán
2020;Anual;34744.0;61;6;Bellas Vistas;Tetuán
2013;Anual;75672.5854571293;161;16;Palomas;Hortaleza
2014;Anual;77836.7561129258;161;16;Palomas;Hortaleza
2015;Anual;81736.547158496;161;16;Palomas;Hortaleza
2016;Anual;81681.0;161;16;Palomas;Hortaleza
2017;Anual;81073.0;161;16;Palomas;Hortaleza
2018;Anual;85614.0;161;16;Palomas;Hortaleza
2019;Anual;86205.0;161;16;Palomas;Hortaleza
2020;Anual;83533.0;161;16;Palomas;Hortaleza
2013;Anual;40466.5976855013;62;6;Cuatro Caminos;Tetuán
2014;Anual;40897.4817955285;62;6;Cuatro Caminos;Tetuán
2015;Anual;43306.0232761758;62;6;Cuatro Caminos;Tetuán
2016;Anual;44416.0;62;6;Cuatro Caminos;Tetuán
2017;Anual;44644.0;62;6;Cuatro Caminos;Tetuán
2018;Anual;46339.0;62;6;Cuatro Caminos;Tetuán
2019;Anual;48879.0;62;6;Cuatro Caminos;Tetuán
2020;Anual;48478.0;62;6;Cuatro Caminos;Tetuán
2013;Anual;53815.4996660959;156;15;San Juan Bautista;Ciudad Lineal
2014;Anual;55567.3709077349;156;15;San Juan Bautista;Ciudad Lineal
2015;Anual;56198.1898953215;156;15;San Juan Bautista;Ciudad Lineal
2016;Anual;57429.0;156;15;San Juan Bautista;Ciudad Lineal
2017;Anual;57584.0;156;15;San Juan Bautista;Ciudad Lineal
2018;Anual;61278.0;156;15;San Juan Bautista;Ciudad Lineal
2019;Anual;62786.0;156;15;San Juan Bautista;Ciudad Lineal
2020;Anual;62813.0;156;15;San Juan Bautista;Ciudad Lineal
2013;Anual;41623.7889287578;52;5;Prosperidad;Chamartín
2014;Anual;42259.316250244;52;5;Prosperidad;Chamartín
2015;Anual;43701.5220015745;52;5;Prosperidad;Chamartín
2016;Anual;44699.0;52;5;Prosperidad;Chamartín
2017;Anual;45620.0;52;5;Prosperidad;Chamartín
2018;Anual;46805.0;52;5;Prosperidad;Chamartín
2019;Anual;48553.0;52;5;Prosperidad;Chamartín
2020;Anual;48327.0;52;5;Prosperidad;Chamartín
2013;Anual;41162.345086184;53;5;Ciudad Jardín;Chamartín
2014;Anual;41735.8331397651;53;5;Ciudad Jardín;Chamartín
2015;Anual;43706.9826198041;53;5;Ciudad Jardín;Chamartín
2016;Anual;44437.0;53;5;Ciudad Jardín;Chamartín
2017;Anual;45521.0;53;5;Ciudad Jardín;Chamartín
2018;Anual;48944.0;53;5;Ciudad Jardín;Chamartín
2019;Anual;49452.0;53;5;Ciudad Jardín;Chamartín
2020;Anual;49051.0;53;5;Ciudad Jardín;Chamartín
2013;Anual;113836.827925432;51;5;El Viso;Chamartín
2014;Anual;113001.04082483;51;5;El Viso;Chamartín
2015;Anual;103573.082656006;51;5;El Viso;Chamartín
2016;Anual;80371.0;51;5;El Viso;Chamartín
2017;Anual;80447.0;51;5;El Viso;Chamartín
2018;Anual;80370.0;51;5;El Viso;Chamartín
2019;Anual;83775.0;51;5;El Viso;Chamartín
2020;Anual;83519.0;51;5;El Viso;Chamartín
2013;Anual;39510.5927689629;91;9;Casa de Campo;Moncloa - Aravaca
2014;Anual;40609.3090762681;91;9;Casa de Campo;Moncloa - Aravaca
2015;Anual;41436.0838529902;91;9;Casa de Campo;Moncloa - Aravaca
2016;Anual;42565.0;91;9;Casa de Campo;Moncloa - Aravaca
2017;Anual;42796.0;91;9;Casa de Campo;Moncloa - Aravaca
2018;Anual;44964.0;91;9;Casa de Campo;Moncloa - Aravaca
2019;Anual;46382.0;91;9;Casa de Campo;Moncloa - Aravaca
2020;Anual;46362.0;91;9;Casa de Campo;Moncloa - Aravaca
2013;Anual;36235.7974671828;206;20;Rejas;San Blas - Canillejas
2014;Anual;36011.2595560324;206;20;Rejas;San Blas - Canillejas
2015;Anual;38202.7270639004;206;20;Rejas;San Blas - Canillejas
2016;Anual;38875.0;206;20;Rejas;San Blas - Canillejas
2017;Anual;39137.0;206;20;Rejas;San Blas - Canillejas
2018;Anual;40746.0;206;20;Rejas;San Blas - Canillejas
2019;Anual;41738.0;206;20;Rejas;San Blas - Canillejas
2020;Anual;41606.0;206;20;Rejas;San Blas - Canillejas
2013;Anual;50342.1891680415;208;20;El Salvador;San Blas - Canillejas
2014;Anual;53790.786705298;208;20;El Salvador;San Blas - Canillejas
2015;Anual;54441.1045863053;208;20;El Salvador;San Blas - Canillejas
2016;Anual;54991.0;208;20;El Salvador;San Blas - Canillejas
2017;Anual;54317.0;208;20;El Salvador;San Blas - Canillejas
2018;Anual;57320.0;208;20;El Salvador;San Blas - Canillejas
2019;Anual;58674.0;208;20;El Salvador;San Blas - Canillejas
2020;Anual;57409.0;208;20;El Salvador;San Blas - Canillejas
2013;Anual;41383.4904816153;205;20;Rosas;San Blas - Canillejas
2014;Anual;41992.8830891749;205;20;Rosas;San Blas - Canillejas
2015;Anual;43369.4685542836;205;20;Rosas;San Blas - Canillejas
2016;Anual;44106.0;205;20;Rosas;San Blas - Canillejas
2017;Anual;44886.0;205;20;Rosas;San Blas - Canillejas
2018;Anual;46723.0;205;20;Rosas;San Blas - Canillejas
2019;Anual;48223.0;205;20;Rosas;San Blas - Canillejas
2020;Anual;48314.0;205;20;Rosas;San Blas - Canillejas
2013;Anual;30527.1154862024;207;20;Canillejas;San Blas - Canillejas
2014;Anual;30764.4044872511;207;20;Canillejas;San Blas - Canillejas
2015;Anual;31306.0089447945;207;20;Canillejas;San Blas - Canillejas
2016;Anual;31510.0;207;20;Canillejas;San Blas - Canillejas
2017;Anual;32291.0;207;20;Canillejas;San Blas - Canillejas
2018;Anual;33554.0;207;20;Canillejas;San Blas - Canillejas
2019;Anual;35338.0;207;20;Canillejas;San Blas - Canillejas
2020;Anual;34162.0;207;20;Canillejas;San Blas - Canillejas
2013;Anual;41145.2389347173;155;15;San Pascual;Ciudad Lineal
2014;Anual;41228.1697897324;155;15;San Pascual;Ciudad Lineal
2015;Anual;42449.9468798582;155;15;San Pascual;Ciudad Lineal
2016;Anual;43945.0;155;15;San Pascual;Ciudad Lineal
2017;Anual;42809.0;155;15;San Pascual;Ciudad Lineal
2018;Anual;44222.0;155;15;San Pascual;Ciudad Lineal
2019;Anual;46170.0;155;15;San Pascual;Ciudad Lineal
2020;Anual;45513.0;155;15;San Pascual;Ciudad Lineal
2013;Anual;56802.0873146541;76;7;Vallehermoso;Chamberí
2014;Anual;56811.9140532508;76;7;Vallehermoso;Chamberí
2015;Anual;59458.5754002255;76;7;Vallehermoso;Chamberí
2016;Anual;58449.0;76;7;Vallehermoso;Chamberí
2017;Anual;60074.0;76;7;Vallehermoso;Chamberí
2018;Anual;61470.0;76;7;Vallehermoso;Chamberí
2019;Anual;63335.0;76;7;Vallehermoso;Chamberí
2020;Anual;63246.0;76;7;Vallehermoso;Chamberí
2013;Anual;45063.9335431639;75;7;Ríos Rosas;Chamberí
2014;Anual;47942.1651331615;75;7;Ríos Rosas;Chamberí
2015;Anual;47955.2791667397;75;7;Ríos Rosas;Chamberí
2016;Anual;49774.0;75;7;Ríos Rosas;Chamberí
2017;Anual;50373.0;75;7;Ríos Rosas;Chamberí
2018;Anual;53844.0;75;7;Ríos Rosas;Chamberí
2019;Anual;55838.0;75;7;Ríos Rosas;Chamberí
2020;Anual;55426.0;75;7;Ríos Rosas;Chamberí
2013;Anual;33489.0115740952;154;15;La Concepción;Ciudad Lineal
2014;Anual;33376.6418851805;154;15;La Concepción;Ciudad Lineal
2015;Anual;34263.2416840776;154;15;La Concepción;Ciudad Lineal
2016;Anual;34609.0;154;15;La Concepción;Ciudad Lineal
2017;Anual;35034.0;154;15;La Concepción;Ciudad Lineal
2018;Anual;37233.0;154;15;La Concepción;Ciudad Lineal
2019;Anual;38115.0;154;15;La Concepción;Ciudad Lineal
2020;Anual;38258.0;154;15;La Concepción;Ciudad Lineal
2013;Anual;44361.0249973359;44;4;Guindalera;Salamanca
2014;Anual;44887.6277451733;44;4;Guindalera;Salamanca
2015;Anual;46340.8740988493;44;4;Guindalera;Salamanca
2016;Anual;46916.0;44;4;Guindalera;Salamanca
2017;Anual;47779.0;44;4;Guindalera;Salamanca
2018;Anual;50064.0;44;4;Guindalera;Salamanca
2019;Anual;51211.0;44;4;Guindalera;Salamanca
2020;Anual;51932.0;44;4;Guindalera;Salamanca
2013;Anual;29510.1733002143;201;20;Simancas;San Blas - Canillejas
2014;Anual;29644.9132389055;201;20;Simancas;San Blas - Canillejas
2015;Anual;31368.0821042939;201;20;Simancas;San Blas - Canillejas
2016;Anual;31855.0;201;20;Simancas;San Blas - Canillejas
2017;Anual;32113.0;201;20;Simancas;San Blas - Canillejas
2018;Anual;33593.0;201;20;Simancas;San Blas - Canillejas
2019;Anual;34835.0;201;20;Simancas;San Blas - Canillejas
