Anio;Periodo;DatoPoblacionMayor65;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2017;Anual;24.53;83;8;Peñagrande;Fuencarral - El Pardo
2018;Anual;25.04;83;8;Peñagrande;Fuencarral - El Pardo
2019;Anual;25.66;83;8;Peñagrande;Fuencarral - El Pardo
2020;Anual;26.1;83;8;Peñagrande;Fuencarral - El Pardo
2021;Anual;26.42;83;8;Peñagrande;Fuencarral - El Pardo
2022;Anual;27.15;83;8;Peñagrande;Fuencarral - El Pardo
2005;Anual;20.52;84;8;Pilar;Fuencarral - El Pardo
2006;Anual;21.78;84;8;Pilar;Fuencarral - El Pardo
2007;Anual;22.25;84;8;Pilar;Fuencarral - El Pardo
2008;Anual;22.86;84;8;Pilar;Fuencarral - El Pardo
2009;Anual;23.78;84;8;Pilar;Fuencarral - El Pardo
2010;Anual;24.91;84;8;Pilar;Fuencarral - El Pardo
2011;Anual;25.79;84;8;Pilar;Fuencarral - El Pardo
2012;Anual;26.79;84;8;Pilar;Fuencarral - El Pardo
2013;Anual;27.54;84;8;Pilar;Fuencarral - El Pardo
2014;Anual;28.8;84;8;Pilar;Fuencarral - El Pardo
2015;Anual;29.5;84;8;Pilar;Fuencarral - El Pardo
2016;Anual;29.69;84;8;Pilar;Fuencarral - El Pardo
2017;Anual;29.66;84;8;Pilar;Fuencarral - El Pardo
2018;Anual;29.49;84;8;Pilar;Fuencarral - El Pardo
2019;Anual;29.27;84;8;Pilar;Fuencarral - El Pardo
2020;Anual;28.93;84;8;Pilar;Fuencarral - El Pardo
2021;Anual;28.86;84;8;Pilar;Fuencarral - El Pardo
2022;Anual;29.0;84;8;Pilar;Fuencarral - El Pardo
2005;Anual;10.89;159;15;Costillares;Ciudad Lineal
2006;Anual;11.89;159;15;Costillares;Ciudad Lineal
2007;Anual;12.82;159;15;Costillares;Ciudad Lineal
2008;Anual;13.7;159;15;Costillares;Ciudad Lineal
2009;Anual;14.59;159;15;Costillares;Ciudad Lineal
2010;Anual;15.44;159;15;Costillares;Ciudad Lineal
2011;Anual;16.16;159;15;Costillares;Ciudad Lineal
2012;Anual;17.01;159;15;Costillares;Ciudad Lineal
2013;Anual;17.85;159;15;Costillares;Ciudad Lineal
2014;Anual;18.71;159;15;Costillares;Ciudad Lineal
2015;Anual;19.47;159;15;Costillares;Ciudad Lineal
2016;Anual;20.18;159;15;Costillares;Ciudad Lineal
2017;Anual;20.71;159;15;Costillares;Ciudad Lineal
2018;Anual;21.39;159;15;Costillares;Ciudad Lineal
2019;Anual;21.85;159;15;Costillares;Ciudad Lineal
2020;Anual;22.08;159;15;Costillares;Ciudad Lineal
2021;Anual;22.45;159;15;Costillares;Ciudad Lineal
2022;Anual;22.91;159;15;Costillares;Ciudad Lineal
2005;Anual;19.11;56;5;Castilla;Chamartín
2006;Anual;19.57;56;5;Castilla;Chamartín
2007;Anual;19.74;56;5;Castilla;Chamartín
2008;Anual;19.81;56;5;Castilla;Chamartín
2009;Anual;20.01;56;5;Castilla;Chamartín
2010;Anual;20.23;56;5;Castilla;Chamartín
2011;Anual;20.44;56;5;Castilla;Chamartín
2012;Anual;20.62;56;5;Castilla;Chamartín
2013;Anual;20.94;56;5;Castilla;Chamartín
2014;Anual;21.27;56;5;Castilla;Chamartín
2015;Anual;22.05;56;5;Castilla;Chamartín
2016;Anual;22.47;56;5;Castilla;Chamartín
2017;Anual;22.47;56;5;Castilla;Chamartín
2018;Anual;22.33;56;5;Castilla;Chamartín
2019;Anual;22.59;56;5;Castilla;Chamartín
2020;Anual;22.63;56;5;Castilla;Chamartín
2021;Anual;22.61;56;5;Castilla;Chamartín
2022;Anual;22.65;56;5;Castilla;Chamartín
2005;Anual;18.28;165;16;Apóstol Santiago;Hortaleza
2006;Anual;18.52;165;16;Apóstol Santiago;Hortaleza
2007;Anual;18.73;165;16;Apóstol Santiago;Hortaleza
2008;Anual;18.81;165;16;Apóstol Santiago;Hortaleza
2009;Anual;18.87;165;16;Apóstol Santiago;Hortaleza
2010;Anual;19.33;165;16;Apóstol Santiago;Hortaleza
2011;Anual;19.54;165;16;Apóstol Santiago;Hortaleza
2012;Anual;19.87;165;16;Apóstol Santiago;Hortaleza
2013;Anual;20.22;165;16;Apóstol Santiago;Hortaleza
2014;Anual;20.57;165;16;Apóstol Santiago;Hortaleza
2015;Anual;20.96;165;16;Apóstol Santiago;Hortaleza
2016;Anual;20.88;165;16;Apóstol Santiago;Hortaleza
2017;Anual;20.98;165;16;Apóstol Santiago;Hortaleza
2018;Anual;20.95;165;16;Apóstol Santiago;Hortaleza
2019;Anual;20.77;165;16;Apóstol Santiago;Hortaleza
2020;Anual;20.91;165;16;Apóstol Santiago;Hortaleza
2021;Anual;21.17;165;16;Apóstol Santiago;Hortaleza
2022;Anual;21.53;165;16;Apóstol Santiago;Hortaleza
2005;Anual;18.09;164;16;Pinar del Rey;Hortaleza
2006;Anual;18.93;164;16;Pinar del Rey;Hortaleza
2007;Anual;19.46;164;16;Pinar del Rey;Hortaleza
2008;Anual;19.98;164;16;Pinar del Rey;Hortaleza
2009;Anual;20.74;164;16;Pinar del Rey;Hortaleza
2010;Anual;21.55;164;16;Pinar del Rey;Hortaleza
2011;Anual;22.41;164;16;Pinar del Rey;Hortaleza
2012;Anual;23.09;164;16;Pinar del Rey;Hortaleza
2013;Anual;24.0;164;16;Pinar del Rey;Hortaleza
2014;Anual;25.0;164;16;Pinar del Rey;Hortaleza
2015;Anual;25.76;164;16;Pinar del Rey;Hortaleza
2016;Anual;26.08;164;16;Pinar del Rey;Hortaleza
2017;Anual;26.3;164;16;Pinar del Rey;Hortaleza
2018;Anual;26.38;164;16;Pinar del Rey;Hortaleza
2019;Anual;26.33;164;16;Pinar del Rey;Hortaleza
2020;Anual;26.19;164;16;Pinar del Rey;Hortaleza
2021;Anual;26.14;164;16;Pinar del Rey;Hortaleza
2022;Anual;26.46;164;16;Pinar del Rey;Hortaleza
2005;Anual;11.14;96;9;El Plantío;Moncloa - Aravaca
2006;Anual;11.42;96;9;El Plantío;Moncloa - Aravaca
2007;Anual;11.56;96;9;El Plantío;Moncloa - Aravaca
2008;Anual;11.98;96;9;El Plantío;Moncloa - Aravaca
2009;Anual;12.6;96;9;El Plantío;Moncloa - Aravaca
2010;Anual;13.74;96;9;El Plantío;Moncloa - Aravaca
2011;Anual;14.72;96;9;El Plantío;Moncloa - Aravaca
2012;Anual;15.47;96;9;El Plantío;Moncloa - Aravaca
2013;Anual;16.83;96;9;El Plantío;Moncloa - Aravaca
2014;Anual;17.74;96;9;El Plantío;Moncloa - Aravaca
2015;Anual;18.32;96;9;El Plantío;Moncloa - Aravaca
2016;Anual;18.14;96;9;El Plantío;Moncloa - Aravaca
2017;Anual;19.19;96;9;El Plantío;Moncloa - Aravaca
2018;Anual;19.67;96;9;El Plantío;Moncloa - Aravaca
2019;Anual;19.3;96;9;El Plantío;Moncloa - Aravaca
2020;Anual;19.72;96;9;El Plantío;Moncloa - Aravaca
2021;Anual;19.1;96;9;El Plantío;Moncloa - Aravaca
2022;Anual;19.15;96;9;El Plantío;Moncloa - Aravaca
2005;Anual;17.21;93;9;Ciudad Universitaria;Moncloa - Aravaca
2006;Anual;17.79;93;9;Ciudad Universitaria;Moncloa - Aravaca
2007;Anual;18.94;93;9;Ciudad Universitaria;Moncloa - Aravaca
2008;Anual;19.64;93;9;Ciudad Universitaria;Moncloa - Aravaca
2009;Anual;20.27;93;9;Ciudad Universitaria;Moncloa - Aravaca
2010;Anual;20.89;93;9;Ciudad Universitaria;Moncloa - Aravaca
2011;Anual;21.63;93;9;Ciudad Universitaria;Moncloa - Aravaca
2012;Anual;22.72;93;9;Ciudad Universitaria;Moncloa - Aravaca
2013;Anual;23.29;93;9;Ciudad Universitaria;Moncloa - Aravaca
2014;Anual;24.13;93;9;Ciudad Universitaria;Moncloa - Aravaca
2015;Anual;24.8;93;9;Ciudad Universitaria;Moncloa - Aravaca
2016;Anual;25.06;93;9;Ciudad Universitaria;Moncloa - Aravaca
2017;Anual;25.3;93;9;Ciudad Universitaria;Moncloa - Aravaca
2018;Anual;25.48;93;9;Ciudad Universitaria;Moncloa - Aravaca
2019;Anual;25.63;93;9;Ciudad Universitaria;Moncloa - Aravaca
2020;Anual;25.29;93;9;Ciudad Universitaria;Moncloa - Aravaca
2021;Anual;25.32;93;9;Ciudad Universitaria;Moncloa - Aravaca
2022;Anual;25.67;93;9;Ciudad Universitaria;Moncloa - Aravaca
2005;Anual;16.48;213;21;Casco Histórico de Barajas;Barajas
2006;Anual;16.52;213;21;Casco Histórico de Barajas;Barajas
2007;Anual;16.28;213;21;Casco Histórico de Barajas;Barajas
2008;Anual;16.11;213;21;Casco Histórico de Barajas;Barajas
2009;Anual;15.99;213;21;Casco Histórico de Barajas;Barajas
2010;Anual;16.07;213;21;Casco Histórico de Barajas;Barajas
2011;Anual;16.04;213;21;Casco Histórico de Barajas;Barajas
2012;Anual;16.42;213;21;Casco Histórico de Barajas;Barajas
2013;Anual;17.2;213;21;Casco Histórico de Barajas;Barajas
2014;Anual;17.69;213;21;Casco Histórico de Barajas;Barajas
2015;Anual;18.39;213;21;Casco Histórico de Barajas;Barajas
2016;Anual;18.35;213;21;Casco Histórico de Barajas;Barajas
2017;Anual;18.28;213;21;Casco Histórico de Barajas;Barajas
2018;Anual;18.54;213;21;Casco Histórico de Barajas;Barajas
2019;Anual;18.31;213;21;Casco Histórico de Barajas;Barajas
2020;Anual;18.56;213;21;Casco Histórico de Barajas;Barajas
2021;Anual;18.95;213;21;Casco Histórico de Barajas;Barajas
2022;Anual;19.9;213;21;Casco Histórico de Barajas;Barajas
2005;Anual;7.28;95;9;Valdemarín;Moncloa - Aravaca
2006;Anual;7.52;95;9;Valdemarín;Moncloa - Aravaca
2007;Anual;7.41;95;9;Valdemarín;Moncloa - Aravaca
2008;Anual;7.3;95;9;Valdemarín;Moncloa - Aravaca
2009;Anual;7.35;95;9;Valdemarín;Moncloa - Aravaca
2010;Anual;7.49;95;9;Valdemarín;Moncloa - Aravaca
2011;Anual;7.93;95;9;Valdemarín;Moncloa - Aravaca
2012;Anual;8.16;95;9;Valdemarín;Moncloa - Aravaca
2013;Anual;8.38;95;9;Valdemarín;Moncloa - Aravaca
2014;Anual;8.85;95;9;Valdemarín;Moncloa - Aravaca
2015;Anual;9.27;95;9;Valdemarín;Moncloa - Aravaca
2016;Anual;10.01;95;9;Valdemarín;Moncloa - Aravaca
2017;Anual;10.35;95;9;Valdemarín;Moncloa - Aravaca
2018;Anual;10.63;95;9;Valdemarín;Moncloa - Aravaca
2019;Anual;11.09;95;9;Valdemarín;Moncloa - Aravaca
2020;Anual;11.18;95;9;Valdemarín;Moncloa - Aravaca
2021;Anual;11.14;95;9;Valdemarín;Moncloa - Aravaca
2022;Anual;11.46;95;9;Valdemarín;Moncloa - Aravaca
2005;Anual;25.74;64;6;Almenara;Tetuán
2006;Anual;24.32;64;6;Almenara;Tetuán
2007;Anual;23.34;64;6;Almenara;Tetuán
2008;Anual;22.63;64;6;Almenara;Tetuán
2009;Anual;22.34;64;6;Almenara;Tetuán
2010;Anual;22.06;64;6;Almenara;Tetuán
2011;Anual;21.87;64;6;Almenara;Tetuán
2012;Anual;21.62;64;6;Almenara;Tetuán
2013;Anual;21.57;64;6;Almenara;Tetuán
2014;Anual;21.83;64;6;Almenara;Tetuán
2015;Anual;21.98;64;6;Almenara;Tetuán
2016;Anual;21.62;64;6;Almenara;Tetuán
2017;Anual;20.84;64;6;Almenara;Tetuán
2018;Anual;20.25;64;6;Almenara;Tetuán
2019;Anual;19.87;64;6;Almenara;Tetuán
2020;Anual;19.35;64;6;Almenara;Tetuán
2021;Anual;18.96;64;6;Almenara;Tetuán
2022;Anual;18.97;64;6;Almenara;Tetuán
2005;Anual;17.64;65;6;Valdeacederas;Tetuán
2006;Anual;17.58;65;6;Valdeacederas;Tetuán
2007;Anual;16.89;65;6;Valdeacederas;Tetuán
2008;Anual;16.38;65;6;Valdeacederas;Tetuán
2009;Anual;15.83;65;6;Valdeacederas;Tetuán
2010;Anual;15.73;65;6;Valdeacederas;Tetuán
2011;Anual;15.66;65;6;Valdeacederas;Tetuán
2012;Anual;15.44;65;6;Valdeacederas;Tetuán
2013;Anual;15.22;65;6;Valdeacederas;Tetuán
2014;Anual;15.3;65;6;Valdeacederas;Tetuán
2015;Anual;15.49;65;6;Valdeacederas;Tetuán
2016;Anual;15.32;65;6;Valdeacederas;Tetuán
2017;Anual;15.09;65;6;Valdeacederas;Tetuán
2018;Anual;14.77;65;6;Valdeacederas;Tetuán
2019;Anual;14.55;65;6;Valdeacederas;Tetuán
2020;Anual;14.33;65;6;Valdeacederas;Tetuán
2021;Anual;14.17;65;6;Valdeacederas;Tetuán
2022;Anual;14.68;65;6;Valdeacederas;Tetuán
2005;Anual;19.34;94;9;Valdezarza;Moncloa - Aravaca
2006;Anual;19.99;94;9;Valdezarza;Moncloa - Aravaca
2007;Anual;20.61;94;9;Valdezarza;Moncloa - Aravaca
2008;Anual;20.76;94;9;Valdezarza;Moncloa - Aravaca
2009;Anual;21.14;94;9;Valdezarza;Moncloa - Aravaca
2010;Anual;21.59;94;9;Valdezarza;Moncloa - Aravaca
2011;Anual;21.96;94;9;Valdezarza;Moncloa - Aravaca
2012;Anual;22.67;94;9;Valdezarza;Moncloa - Aravaca
2013;Anual;23.14;94;9;Valdezarza;Moncloa - Aravaca
2014;Anual;23.93;94;9;Valdezarza;Moncloa - Aravaca
2015;Anual;24.37;94;9;Valdezarza;Moncloa - Aravaca
2016;Anual;24.71;94;9;Valdezarza;Moncloa - Aravaca
2017;Anual;25.0;94;9;Valdezarza;Moncloa - Aravaca
2018;Anual;24.99;94;9;Valdezarza;Moncloa - Aravaca
2019;Anual;24.92;94;9;Valdezarza;Moncloa - Aravaca
2020;Anual;24.76;94;9;Valdezarza;Moncloa - Aravaca
2021;Anual;24.97;94;9;Valdezarza;Moncloa - Aravaca
2022;Anual;25.18;94;9;Valdezarza;Moncloa - Aravaca
2005;Anual;6.0;215;21;Corralejos;Barajas
